source                                                                                                                                                                       , doc_type    , loader_used                   , text_chars, ok
extractdirect\DTAD_20046690_Vergabeunterlagen_20230406\Besondere Erklärung des Bieters.pdf                                                                                   , text_doc    , pymupdf_text                  ,       1035, True
extractdirect\DTAD_20046690_Vergabeunterlagen_20230406\Compliance-Klausel_1.0.pdf                                                                                            , text_doc    , pymupdf_text                  ,       3232, True
extractdirect\DTAD_20046690_Vergabeunterlagen_20230406\Endausdruck Ungeteiltes LV Los 1 Ost A1018500231.pdf                                                                  , text_doc    , pymupdf_text+pdfplumber_tables,     154621, True
extractdirect\DTAD_20046690_Vergabeunterlagen_20230406\Endausdruck Ungeteiltes LV Los 2 West A1018500232.pdf                                                                 , text_doc    , pymupdf_text+pdfplumber_tables,     152927, True
extractdirect\DTAD_20046690_Vergabeunterlagen_20230406\HVA_B_StB_Angebotsschreiben.pdf                                                                                       , text_doc    , pymupdf_text+pdfplumber_tables,       7878, True
extractdirect\DTAD_20046690_Vergabeunterlagen_20230406\HVA_B_StB_Aufforderung_zur_Angebotsabgabe.pdf                                                                         , text_doc    , pymupdf_text+pdfplumber_tables,      11747, True
extractdirect\DTAD_20046690_Vergabeunterlagen_20230406\HVA_B_StB_Besondere_Vertragsbedingungen.pdf                                                                           , text_doc    , pymupdf_text+pdfplumber_tables,       9885, True
extractdirect\DTAD_20046690_Vergabeunterlagen_20230406\HVA_B_StB_Eigenerklaerung_Eignung.pdf                                                                                 , text_doc    , pymupdf_text+pdfplumber_tables,      14070, True
extractdirect\DTAD_20046690_Vergabeunterlagen_20230406\HVA_B_StB_Erklaerung_Bietergemeinschaft.pdf                                                                           , text_doc    , pymupdf_text+pdfplumber_tables,       1368, True
extractdirect\DTAD_20046690_Vergabeunterlagen_20230406\HVA_B_StB_Information_Datenschutz.pdf                                                                                 , text_doc    , pymupdf_text+pdfplumber_tables,      13524, True
extractdirect\DTAD_20046690_Vergabeunterlagen_20230406\HVA_B_StB_Teilnahmebedingungen.pdf                                                                                    , text_doc    , pymupdf_text                  ,      10130, True
extractdirect\DTAD_20046690_Vergabeunterlagen_20230406\HVA_B_StB_Titelblatt_Leistungsbeschreibung.pdf                                                                        , text_doc    , pymupdf_text+pdfplumber_tables,       6746, True
extractdirect\DTAD_20046690_Vergabeunterlagen_20230406\HVA_B_StB_Unterauftrag_Nachunternehmerleistungen.pdf                                                                  , text_doc    , pymupdf_text+pdfplumber_tables,       1279, True
extractdirect\DTAD_20046690_Vergabeunterlagen_20230406\HVA_B_StB_Vorzulegende_Unterlagen.pdf                                                                                 , text_doc    , pymupdf_text+pdfplumber_tables,       5709, True
extractdirect\DTAD_20046690_Vergabeunterlagen_20230406\HVA_B_StB_Weitere_Besondere_Vertragsbedingungen.pdf                                                                   , text_doc    , pymupdf_text+pdfplumber_tables,      20999, True
extractdirect\DTAD_20046690_Vergabeunterlagen_20230406\Kabelschutzanweisung Empfangsbescheinigung.pdf                                                                        , text_doc    , pymupdf_text+pdfplumber_tables,       1164, True
extractdirect\DTAD_20046690_Vergabeunterlagen_20230406\Kabelschutzanweisung Sachsen neu-in Überarbeitung.pdf                                                                 , text_doc    , pymupdf_text+pdfplumber_tables,      21650, True
extractdirect\DTAD_20046690_Vergabeunterlagen_20230406\Referenzbescheinigung Vordruck 08-19.pdf                                                                              , text_doc    , pymupdf_text+pdfplumber_tables,       4172, True
extractdirect\DTAD_20046690_Vergabeunterlagen_20230406\VHB_221_Zuschlagskalkulation.pdf                                                                                      , text_doc    , pymupdf_text+pdfplumber_tables,       5233, True
extractdirect\DTAD_20046690_Vergabeunterlagen_20230406\VHB_222_Kalkulation_ueber_Endsumme.pdf                                                                                , text_doc    , pymupdf_text+pdfplumber_tables,       7324, True
extractdirect\DTAD_20046891_Vergabeunterlagen_20230406\1_Heftung.pdf                                                                                                         , text_doc    , pymupdf_text+pdfplumber_tables,     423750, True
extractdirect\DTAD_20046891_Vergabeunterlagen_20230406\2_Heftung.pdf                                                                                                         , text_doc    , pymupdf_text+pdfplumber_tables,     297289, True
extractdirect\DTAD_20046891_Vergabeunterlagen_20230406\6721-533-52-Grundriss.pdf                                                                                             , scanned_doc , pymupdf_text+tesseract_ocr    ,        926, True
extractdirect\DTAD_20046891_Vergabeunterlagen_20230406\6721-533-53-Ansicht.pdf                                                                                               , scanned_doc , pymupdf_text+tesseract_ocr    ,        369, True
extractdirect\DTAD_20046891_Vergabeunterlagen_20230406\Beleuchtung.PDF                                                                                                       , text_doc    , pymupdf_text                  ,       9613, True
extractdirect\DTAD_20046891_Vergabeunterlagen_20230406\Gel4.pdf                                                                                                              , drawing_plan, pymupdf_text+tesseract_ocr    ,        798, True
extractdirect\DTAD_20046891_Vergabeunterlagen_20230406\Gel9-11.pdf                                                                                                           , drawing_plan, pymupdf_text+tesseract_ocr    ,       2610, True
extractdirect\DTAD_20046891_Vergabeunterlagen_20230406\Geländerentwurf.pdf                                                                                                   , text_doc    , pymupdf_text+pdfplumber_tables,      27552, True
extractdirect\DTAD_20046891_Vergabeunterlagen_20230406\Regelplan.pdf                                                                                                         , drawing_plan, pymupdf_text+tesseract_ocr    ,       1339, True
extractdirect\DTAD_20046893_Vergabeunterlagen_20230406\00_211 Aufforderung zur Abgabe eines Angebots.docx                                                                    , text_doc    , python-docx                   ,          0, False
extractdirect\DTAD_20046893_Vergabeunterlagen_20230406\01_212 Teilnahmebedingungen.docx                                                                                      , text_doc    , python-docx                   ,       7834, True
extractdirect\DTAD_20046893_Vergabeunterlagen_20230406\02_Anlage 1 zu den Teilnahmebedingungen VOB VOB-EU.docx                                                               , text_doc    , python-docx                   ,         57, True
extractdirect\DTAD_20046893_Vergabeunterlagen_20230406\03_Information zur DSGVO.pdf                                                                                          , text_doc    , pymupdf_text                  ,       8019, True
extractdirect\DTAD_20046893_Vergabeunterlagen_20230406\04_214 Besondere Vertragsbedingungen.docx                                                                             , text_doc    , python-docx                   ,         29, True
extractdirect\DTAD_20046893_Vergabeunterlagen_20230406\05_241 Abfall.docx                                                                                                    , text_doc    , python-docx                   ,       2820, True
extractdirect\DTAD_20046893_Vergabeunterlagen_20230406\06_Lageplan Conti-Parkplatz 1-500.pdf                                                                                 , scanned_doc , pymupdf_text+tesseract_ocr    ,        561, True
extractdirect\DTAD_20046893_Vergabeunterlagen_20230406\07_Übersichtskarte 1-5.000 Markierung Baufeld.pdf                                                                     , drawing_plan, pymupdf_text                  ,        383, True
extractdirect\DTAD_20046893_Vergabeunterlagen_20230406\08_Schnitt Winkelstütze Conti-Parkplatz.pdf                                                                           , drawing_plan, pymupdf_text                  ,       1061, True
extractdirect\DTAD_20046893_Vergabeunterlagen_20230406\09_213 Angebotsschreiben.docx                                                                                         , text_doc    , python-docx                   ,          0, False
extractdirect\DTAD_20046893_Vergabeunterlagen_20230406\11_124 Eigenerklaerung Bieter.docx                                                                                    , text_doc    , python-docx                   ,          0, False
extractdirect\DTAD_20046893_Vergabeunterlagen_20230406\12_221_222_Preisermittlung.docx                                                                                       , text_doc    , python-docx                   ,        266, True
extractdirect\DTAD_20046893_Vergabeunterlagen_20230406\13_233 Nachunternehmer.docx                                                                                           , text_doc    , python-docx                   ,        332, True
extractdirect\DTAD_20046893_Vergabeunterlagen_20230406\14_234 Erklaerung Bieter- Arbeitsgemeinschaft.docx                                                                    , text_doc    , python-docx                   ,        116, True
extractdirect\DTAD_20046893_Vergabeunterlagen_20230406\15_Erklaerung_Tariftreue_§4_NTVergG.pdf                                                                               , text_doc    , pymupdf_text                  ,       1791, True
extractdirect\DTAD_20046893_Vergabeunterlagen_20230406\16_Anlage E - Eigenerklärung Sanktionen.pdf                                                                           , text_doc    , pymupdf_text                  ,       6424, True
extractdirect\DTAD_20046894_Vergabeunterlagen_20230406\23 A 0162 - Produktliste.docx                                                                                         , text_doc    , python-docx                   ,       2809, True
extractdirect\DTAD_20046894_Vergabeunterlagen_20230406\9003H_US_Zugangsbestimmungen-(11_22)docx.pdf                                                                          , text_doc    , pymupdf_text+pdfplumber_tables,      18435, True
extractdirect\DTAD_20046894_Vergabeunterlagen_20230406\Vergabeunterlagen_Vergabe_23A0162.pdf                                                                                 , text_doc    , pymupdf_text+pdfplumber_tables,    2552925, True
extractdirect\DTAD_20046895_Vergabeunterlagen_20230406\Bestand_Entwässerung-Elektro.pdf                                                                                      , scanned_doc , pymupdf_text+tesseract_ocr    ,        686, True
extractdirect\DTAD_20046895_Vergabeunterlagen_20230406\E2216_5-D-RD-LV_Regeldetails.pdf                                                                                      , scanned_doc , pymupdf_text+tesseract_ocr    ,       1537, True
extractdirect\DTAD_20046895_Vergabeunterlagen_20230406\E2216_5-L-BE-LV_Baustelleneinrichtung.pdf                                                                             , scanned_doc , pymupdf_text+tesseract_ocr    ,        482, True
extractdirect\DTAD_20046895_Vergabeunterlagen_20230406\E2216_5-L-Ltg-LV_Leitungen.pdf                                                                                        , scanned_doc , pymupdf_text+tesseract_ocr    ,       1160, True
extractdirect\DTAD_20046895_Vergabeunterlagen_20230406\E2216_5-L-Sp-LV_Spielfeld.pdf                                                                                         , scanned_doc , pymupdf_text+tesseract_ocr    ,       1121, True
extractdirect\DTAD_20046895_Vergabeunterlagen_20230406\LUBW_Wasserschutzzonen.pdf                                                                                            , scanned_doc , pymupdf_text+tesseract_ocr    ,        112, True
extractdirect\DTAD_20046895_Vergabeunterlagen_20230406\LV - Sportpark FSV Waiblingen Platz V.pdf                                                                             , text_doc    , pymupdf_text+pdfplumber_tables,     202547, True
extractdirect\DTAD_20046895_Vergabeunterlagen_20230406\Sedlmeir_Bodengutachten-2020.pdf                                                                                      , scanned_doc , pymupdf_text+tesseract_ocr    ,      46559, True
extractdirect\DTAD_20046895_Vergabeunterlagen_20230406\Vorbedingungen Sanierung Rasenplatz V (FSV) .pdf                                                                      , text_doc    , pymupdf_text                  ,     207286, True
extractdirect\DTAD_20046897_Vergabeunterlagen_20230406\124 Eigenerklaerung Bieter.docx                                                                                       , text_doc    , python-docx                   ,          0, False
extractdirect\DTAD_20046897_Vergabeunterlagen_20230406\211 Aufforderung zur Abgabe eines Angebots.docx                                                                       , text_doc    , python-docx                   ,          0, False
extractdirect\DTAD_20046897_Vergabeunterlagen_20230406\212 Teilnahmebedingungen.docx                                                                                         , text_doc    , python-docx                   ,       7834, True
extractdirect\DTAD_20046897_Vergabeunterlagen_20230406\213 Angebotsschreiben.docx                                                                                            , text_doc    , python-docx                   ,          0, False
extractdirect\DTAD_20046897_Vergabeunterlagen_20230406\214 Besondere Vertragsbedingungen.docx                                                                                , text_doc    , python-docx                   ,        109, True
extractdirect\DTAD_20046897_Vergabeunterlagen_20230406\216_VHB2017.A2019.docx                                                                                                , text_doc    , python-docx                   ,       3135, True
extractdirect\DTAD_20046897_Vergabeunterlagen_20230406\221_222_Preisermittlung.docx                                                                                          , text_doc    , python-docx                   ,        266, True
extractdirect\DTAD_20046897_Vergabeunterlagen_20230406\233 Nachunternehmer.docx                                                                                              , text_doc    , python-docx                   ,        332, True
extractdirect\DTAD_20046897_Vergabeunterlagen_20230406\234 Erklaerung Bieter- Arbeitsgemeinschaft.docx                                                                       , text_doc    , python-docx                   ,        116, True
extractdirect\DTAD_20046897_Vergabeunterlagen_20230406\Erklaerung_zur_Vermeidung_ausbeuterischer_Kinderarbeit_RLP 1.pdf                                                      , drawing_plan, pymupdf_text+tesseract_ocr    ,       1872, True
extractdirect\DTAD_20046897_Vergabeunterlagen_20230406\Etikett zum Angebot.docx                                                                                              , text_doc    , python-docx                   ,        428, True
extractdirect\DTAD_20046897_Vergabeunterlagen_20230406\Lageplan.pdf                                                                                                          , scanned_doc , pymupdf_text+tesseract_ocr    ,        224, True
extractdirect\DTAD_20046897_Vergabeunterlagen_20230406\Leistungsverzeichnis.pdf                                                                                              , text_doc    , pymupdf_text+pdfplumber_tables,     128445, True
extractdirect\DTAD_20046897_Vergabeunterlagen_20230406\Mustererklaerung_1_AEntG_2019.pdf                                                                                     , text_doc    , pymupdf_text+pdfplumber_tables,       4163, True
extractdirect\DTAD_20046897_Vergabeunterlagen_20230406\Mustererklaerung_3_Mindestentgelt_2019.pdf                                                                            , text_doc    , pymupdf_text+pdfplumber_tables,       3344, True
extractdirect\DTAD_20046897_Vergabeunterlagen_20230406\Rügeobliegenheiten gem. LV zur Nachprüfung.pdf                                                                        , text_doc    , pymupdf_text                  ,       2106, True
extractdirect\DTAD_20046904_Vergabeunterlagen_20230406\000 Aufforderung und Bedingungen.pdf                                                                                  , text_doc    , pymupdf_text+pdfplumber_tables,      36545, True
extractdirect\DTAD_20046904_Vergabeunterlagen_20230406\010 Leistungsverzeichnis .pdf                                                                                         , text_doc    , pymupdf_text+pdfplumber_tables,     183684, True
extractdirect\DTAD_20046904_Vergabeunterlagen_20230406\019 Baustellenbeschreibung.pdf                                                                                        , text_doc    , pymupdf_text                  ,       3839, True
extractdirect\DTAD_20046904_Vergabeunterlagen_20230406\124 Eigenerklärung Bieter.docx                                                                                        , text_doc    , python-docx                   ,          0, False
extractdirect\DTAD_20046904_Vergabeunterlagen_20230406\213 Angebotsschreiben.docx                                                                                            , text_doc    , python-docx                   ,          0, False
extractdirect\DTAD_20046904_Vergabeunterlagen_20230406\221 Preisermittlung.docx                                                                                              , text_doc    , python-docx                   ,         94, True
extractdirect\DTAD_20046904_Vergabeunterlagen_20230406\222 Preisermittlung.docx                                                                                              , text_doc    , python-docx                   ,        166, True
extractdirect\DTAD_20046904_Vergabeunterlagen_20230406\233 Nachunternehmer.docx                                                                                              , text_doc    , python-docx                   ,        332, True
extractdirect\DTAD_20046904_Vergabeunterlagen_20230406\234 Erklärung Bietergemeinschaft.docx                                                                                 , text_doc    , python-docx                   ,        394, True
extractdirect\DTAD_20046904_Vergabeunterlagen_20230406\_Achtung nur elektronische Angebote zugelassen.pdf                                                                    , text_doc    , pymupdf_text                  ,       1092, True
extractdirect\DTAD_20046904_Vergabeunterlagen_20230406\_Hinweise für Bieter.pdf                                                                                              , text_doc    , pymupdf_text+pdfplumber_tables,      10434, True
extractdirect\DTAD_20046904_Vergabeunterlagen_20230406\_Information Datenschutz.pdf                                                                                          , text_doc    , pymupdf_text+pdfplumber_tables,      12249, True
extractdirect\DTAD_20046906_Vergabeunterlagen_20230406\Aufforderung zur Angebotsabgabe (KEV-Formblätter).pdf                                                                 , text_doc    , pymupdf_text+pdfplumber_tables,     214439, True
extractdirect\DTAD_20046906_Vergabeunterlagen_20230406\Bauzeitenplan.pdf                                                                                                     , text_doc    , pymupdf_text+pdfplumber_tables,     359465, True
extractdirect\DTAD_20046906_Vergabeunterlagen_20230406\Grundrisse Klassenzimmersanierung.pdf                                                                                 , text_doc    , pymupdf_text+pdfplumber_tables,     164709, True
extractdirect\DTAD_20046906_Vergabeunterlagen_20230406\Leistungsverzeichnis als PDF.pdf                                                                                      , text_doc    , pymupdf_text+pdfplumber_tables,      75337, True
"extractdirect\DTAD_20046906_Vergabeunterlagen_20230406\Schnitte, Details Klassenzimmersanierung.pdf"                                                                        , text_doc    , pymupdf_text+pdfplumber_tables,     543554, True
extractdirect\DTAD_20046907_Vergabeunterlagen_20230406\Aufforderung zur Angebotsabgabe (KEV-Formblätter).pdf                                                                 , text_doc    , pymupdf_text+pdfplumber_tables,     214382, True
extractdirect\DTAD_20046907_Vergabeunterlagen_20230406\Bauzeitenplan.pdf                                                                                                     , text_doc    , pymupdf_text+pdfplumber_tables,     359465, True
extractdirect\DTAD_20046907_Vergabeunterlagen_20230406\Grundrisse Klassenzimmersanierung.pdf                                                                                 , text_doc    , pymupdf_text+pdfplumber_tables,     164709, True
extractdirect\DTAD_20046907_Vergabeunterlagen_20230406\Leistungsverzeichnis als PDF.pdf                                                                                      , text_doc    , pymupdf_text+pdfplumber_tables,      70601, True
"extractdirect\DTAD_20046907_Vergabeunterlagen_20230406\Schnitte, Details Klassenzimmersanierung.pdf"                                                                        , text_doc    , pymupdf_text+pdfplumber_tables,     543554, True
extractdirect\DTAD_20046908_Vergabeunterlagen_20230406\124 Eigenerklaerung Bieter.docx                                                                                       , text_doc    , python-docx                   ,          0, False
extractdirect\DTAD_20046908_Vergabeunterlagen_20230406\211 Aufforderung zur Abgabe eines Angebots.docx                                                                       , text_doc    , python-docx                   ,          0, False
extractdirect\DTAD_20046908_Vergabeunterlagen_20230406\212 Teilnahmebedingungen.docx                                                                                         , text_doc    , python-docx                   ,       7834, True
extractdirect\DTAD_20046908_Vergabeunterlagen_20230406\213 Angebotsschreiben.docx                                                                                            , text_doc    , python-docx                   ,          0, False
extractdirect\DTAD_20046908_Vergabeunterlagen_20230406\214 Besondere Vertragsbedingungen.docx                                                                                , text_doc    , python-docx                   ,        192, True
extractdirect\DTAD_20046908_Vergabeunterlagen_20230406\216_VHB2017.A2019.docx                                                                                                , text_doc    , python-docx                   ,       3211, True
extractdirect\DTAD_20046908_Vergabeunterlagen_20230406\228 Nichteisenmetalle.docx                                                                                            , text_doc    , python-docx                   ,       3946, True
extractdirect\DTAD_20046908_Vergabeunterlagen_20230406\230403_RS_Bernitt_LV02_Stahlbauarbeiten.pdf                                                                           , text_doc    , pymupdf_text                  ,     114317, True
extractdirect\DTAD_20046908_Vergabeunterlagen_20230406\233 Nachunternehmer.docx                                                                                              , text_doc    , python-docx                   ,        332, True
extractdirect\DTAD_20046908_Vergabeunterlagen_20230406\234 Erklaerung Bieter- Arbeitsgemeinschaft.docx                                                                       , text_doc    , python-docx                   ,        116, True
extractdirect\DTAD_20046908_Vergabeunterlagen_20230406\241 Abfall.docx                                                                                                       , text_doc    , python-docx                   ,       2820, True
extractdirect\DTAD_20046908_Vergabeunterlagen_20230406\Eigenerklärung gemäß § 10 VgG M-V.pdf                                                                                 , text_doc    , pymupdf_text                  ,       2104, True
extractdirect\DTAD_20046908_Vergabeunterlagen_20230406\Eigenerklärung gemäß § 11 VgG M-V.pdf                                                                                 , text_doc    , pymupdf_text                  ,       5138, True
extractdirect\DTAD_20046908_Vergabeunterlagen_20230406\Eigenerklärung gemäß § 9 VgG M-V.pdf                                                                                  , text_doc    , pymupdf_text                  ,       2407, True
extractdirect\DTAD_20046908_Vergabeunterlagen_20230406\Formblatt 235 Verzeichnis der Leistungen u. Kapazitäten anderer Unternehmen.pdf                                       , text_doc    , pymupdf_text+pdfplumber_tables,       1438, True
extractdirect\DTAD_20046909_Vergabeunterlagen_20230406\00_Formularsatz.pdf                                                                                                   , text_doc    , pymupdf_text+pdfplumber_tables,      67519, True
extractdirect\DTAD_20046909_Vergabeunterlagen_20230406\01__LV Dachdeckerarbeiten.pdf                                                                                         , text_doc    , pymupdf_text+pdfplumber_tables,      34626, True
extractdirect\DTAD_20046909_Vergabeunterlagen_20230406\02_Lageplan.pdf                                                                                                       , drawing_plan, pymupdf_text                  ,       5869, True
extractdirect\DTAD_20046909_Vergabeunterlagen_20230406\03_Grundriss UG.pdf                                                                                                   , text_doc    , pymupdf_text+pdfplumber_tables,      12442, True
extractdirect\DTAD_20046909_Vergabeunterlagen_20230406\04_Grundriss EG.pdf                                                                                                   , text_doc    , pymupdf_text+pdfplumber_tables,      14041, True
extractdirect\DTAD_20046909_Vergabeunterlagen_20230406\05_Grundriss OG.pdf                                                                                                   , text_doc    , pymupdf_text+pdfplumber_tables,      16148, True
extractdirect\DTAD_20046909_Vergabeunterlagen_20230406\06_Schnitt.pdf                                                                                                        , drawing_plan, pymupdf_text                  ,        684, True
extractdirect\DTAD_20046909_Vergabeunterlagen_20230406\07_Südansicht.pdf                                                                                                     , drawing_plan, pymupdf_text+tesseract_ocr    ,         77, True
extractdirect\DTAD_20046909_Vergabeunterlagen_20230406\08_Westansicht.pdf                                                                                                    , drawing_plan, pymupdf_text                  ,        234, True
extractdirect\DTAD_20046909_Vergabeunterlagen_20230406\09_Nordansicht.pdf                                                                                                    , drawing_plan, pymupdf_text                  ,        231, True
extractdirect\DTAD_20046909_Vergabeunterlagen_20230406\10_Fotos allgemein (zu allen Gewerken).pdf                                                                            , drawing_plan, pymupdf_text                  ,        116, True
extractdirect\DTAD_20046909_Vergabeunterlagen_20230406\11_Bauzeitenplan.pdf                                                                                                  , text_doc    , pymupdf_text+pdfplumber_tables,       8398, True
extractdirect\DTAD_20046910_Vergabeunterlagen_20230406\BMI_23032020_Bauablaufstörungen.pdf                                                                                   , text_doc    , pymupdf_text                  ,       3917, True
extractdirect\DTAD_20046910_Vergabeunterlagen_20230406\Informationen zu statistischen Angaben bzgl. KMU.pdf                                                                  , text_doc    , pymupdf_text                  ,       1194, True
extractdirect\DTAD_20046910_Vergabeunterlagen_20230406\Merkblatt_LTTG.pdf                                                                                                    , text_doc    , pymupdf_text+pdfplumber_tables,      13882, True
extractdirect\DTAD_20046910_Vergabeunterlagen_20230406\Mustererklaerung_1_AEntG.pdf                                                                                          , text_doc    , pymupdf_text+pdfplumber_tables,       3738, True
extractdirect\DTAD_20046910_Vergabeunterlagen_20230406\RS-EU-Sanktionen-Russland.pdf                                                                                         , text_doc    , pymupdf_text                  ,       3599, True
extractdirect\DTAD_20046910_Vergabeunterlagen_20230406\Wee 2020-03-30 Hinweisblatt des Bundes Covid-19.pdf                                                                   , text_doc    , pymupdf_text                  ,       1058, True
extractdirect\DTAD_20046913_Vergabeunterlagen_20230406\10_Putz-&Malerarbeiten - LV.pdf                                                                                       , text_doc    , pymupdf_text                  ,      49623, True
extractdirect\DTAD_20046913_Vergabeunterlagen_20230406\211_ohne_Lose.pdf                                                                                                     , text_doc    , pymupdf_text+pdfplumber_tables,      35695, True
extractdirect\DTAD_20046913_Vergabeunterlagen_20230406\216.pdf                                                                                                               , text_doc    , pymupdf_text+pdfplumber_tables,       4767, True
extractdirect\DTAD_20046913_Vergabeunterlagen_20230406\23-02-22_GS Reichenbach-Steegen_Bauablaufplan.pdf                                                                     , text_doc    , pymupdf_text+pdfplumber_tables,      18139, True
extractdirect\DTAD_20046913_Vergabeunterlagen_20230406\A01_GS_Reichenbach-Steegen_AZ_GRU_LAP_0500_27.02.23.pdf                                                               , drawing_plan, pymupdf_text+tesseract_ocr    ,       1532, True
extractdirect\DTAD_20046913_Vergabeunterlagen_20230406\A03_GS_Reichenbach-Steegen_AZ_GRU_UG_0050_A_17.03.23.pdf                                                              , drawing_plan, pymupdf_text+tesseract_ocr    ,       5902, True
extractdirect\DTAD_20046913_Vergabeunterlagen_20230406\A05_GS_Reichenbach-Steegen_AZ_GRU_ZG_0050_27.02.23.pdf                                                                , drawing_plan, pymupdf_text+tesseract_ocr    ,       4164, True
extractdirect\DTAD_20046913_Vergabeunterlagen_20230406\A07_GS_Reichenbach-Steegen_AZ_GRU_EG_0050_A_16.03.23.pdf                                                              , drawing_plan, pymupdf_text+tesseract_ocr    ,       5018, True
extractdirect\DTAD_20046913_Vergabeunterlagen_20230406\A09_GS_Reichenbach-Steegen_AZ_SN_A-B-C_0050_A_17.03.23.pdf                                                            , drawing_plan, pymupdf_text+tesseract_ocr    ,       7805, True
extractdirect\DTAD_20046913_Vergabeunterlagen_20230406\A10_GS_Reichenbach-Steegen_AZ_ANS_0050_A_14.03.23.pdf                                                                 , drawing_plan, pymupdf_text+tesseract_ocr    ,       4251, True
extractdirect\DTAD_20046913_Vergabeunterlagen_20230406\A11.1_GS_Reichenbach-Steegen_AZ_DET-TP-M_0050_A_14.03.23.pdf                                                          , scanned_doc , pymupdf_text+tesseract_ocr    ,       2967, True
extractdirect\DTAD_20046913_Vergabeunterlagen_20230406\A11_GS_Reichenbach-Steegen_AZ_DET-TP_0050_A_17.03.23.pdf                                                              , scanned_doc , pymupdf_text+tesseract_ocr    ,       2822, True
extractdirect\DTAD_20046913_Vergabeunterlagen_20230406\A12_GS_Reichenbach-Steegen_AZ_DET-01_0010_A_17.03.23.pdf                                                              , drawing_plan, pymupdf_text+tesseract_ocr    ,       3281, True
extractdirect\DTAD_20046913_Vergabeunterlagen_20230406\A15_GS_Reichenbach-Steegen_AZ_DET-04_0010_27.02.23.pdf                                                                , drawing_plan, pymupdf_text+tesseract_ocr    ,       2929, True
